# vim: tabstop=29 expandtab softtabstop=29 syntax=conf
# Исключения (притяжательные формы прилагательного)
# ========================================================================
Абросимова улица             # [СПБ3]
Алымова улица                # Москва, http://ru.wikipedia.org/wiki/Алымов_переулок
Бармалеева улица             # [СПБ3] (Краткое притяжательное прилагательное)
Большая Зеленина улица       # [СПБ3] (Краткое притяжательное прилагательное) http://ru.wikipedia.org/wiki/Большая_Зеленина_улица
Бояна улица                  # Великий Новгород, (Краткое притяжательное прилагательное)
Буженинова улица             # Москва, http://slovari.yandex.ru/~книги/Московские%20улицы/Буженинова%20улица/ ; в ОМКУМ также, но в википедии "улица Буженинова"
Веткина улица                # Москва, http://ru.wikipedia.org/wiki/Веткина_улица, там же Веткин проезд
Гаврикова улица              # Москва, http://ru.wikipedia.org/wiki/Гаврикова_улица
Герасименко-Маницына улица   # Великий Новгород, (совмещены фамилия в родительном падеже + краткое притяжательное прилагательное)
Глухая Зеленина улица        # [СПБ3] (Краткое притяжательное прилагательное)
Гусева улица                 # [СПБ3] (Краткое притяжательное прилагательное) Б.Охта (но в Кронштадте - улица Гусева)
Даньславля улица             # Великий Новгород, (Краткое притяжательное прилагательное)
Дворникова улица             # Москва, http://slovari.yandex.ru/~книги/Московские%20улицы/Дворникова%20улица/
Добрыня улица                # Великий Новгород, (Краткое притяжательное прилагательное)
Жуков переулок               # [СПБ4]
Жуков проезд                 # Москва, http://ru.wikipedia.org/wiki/Жуков_проезд
Жукова улица                 # [СПБ4] (Краткое притяжательное прилагательное) г.Сестрорецк
Замшина улица                # [СПБ3] (Краткое притяжательное прилагательное)
Ильина улица                 # Великий Новгород, (Краткое притяжательное прилагательное)
Ильмянинова улица            # [СПБ4] (Краткое притяжательное прилагательное) г.Кронштадт
Карташихина улица            # [СПБ3] (Краткое притяжательное прилагательное) СПб, http://dic.academic.ru/dic.nsf/enc_sp/3410/Карташихина
Комарова улица               # [СПБ3] (Краткое притяжательное прилагательное)
Кривоносова улица            # Выборг (@Pavel47)
Крюкова улица                # [СПБ3] (Краткое притяжательное прилагательное)
Куракина улица               # [СПБ3] (Краткое притяжательное прилагательное)
Литвинова-Лукина улица       # Великий Новгород, (совмещены фамилия в родительном падеже + краткое притяжательное прилагательное)
Людогоща улица               # Великий Новгород, (Краткое притяжательное прилагательное)
Майорова улица               # Выборг (@Pavel47)
Малая Зеленина улица         # [СПБ3] (Краткое притяжательное прилагательное)
Мерецкова-Волосова улица     # Великий Новгород, (совмещены фамилия в родительном падеже + краткое притяжательное прилагательное)
Миронова улица               # [СПБ3] (Краткое притяжательное прилагательное)
Михайлова улица              # Великий Новгород, (Краткое притяжательное прилагательное)
Мишина улица                 # Москва, http://ru.wikipedia.org/wiki/Мишина_улица; там же Мишин проезд
Морозов переулок             # (Краткое притяжательное прилагательное) с.Квасниковка саратовской обл.
Никитин переулок             # Великий Новгород, (Краткое притяжательное прилагательное)
Ольгина улица                # [СПБ3] (Краткое притяжательное прилагательное)
Опочинина улица              # [СПБ3] (Краткое притяжательное прилагательное) СПб, http://dic.academic.ru/dic.nsf/enc_sp/3775/Опочинина
Осокина улица                # [СПБ4] (Краткое притяжательное прилагательное) г.Кронштадт
Остоумова улица              # [СПБ3] (Краткое притяжательное прилагательное)
Панфилова улица              # [СПБ3] (Краткое притяжательное прилагательное)
Перфильева улица             # [СПБ3] (Краткое притяжательное прилагательное)
Плуталова улица              # [СПБ3] (Краткое притяжательное прилагательное)
Подрезова улица              # [СПБ3] (Краткое притяжательное прилагательное)
Полозова улица               # [СПБ3] (Краткое притяжательное прилагательное)
Прасковьина улица            # Москва, http://ru.wikipedia.org/wiki/Прасковьина_улица
Рашетова улица               # [СПБ3] (Краткое притяжательное прилагательное)
Редькина улица               # XXX: где находится и почему исключение?
Репищева улица               # [СПБ3] (Краткое притяжательное прилагательное)
Рюхина улица                 # [СПБ3] (Краткое притяжательное прилагательное)
Сегалева улица               # [СПБ3] (Краткое притяжательное прилагательное)
Славков переулок             # Великий Новгород, (Краткое притяжательное прилагательное)
Старцева улица               # [СПБ3] (Краткое притяжательное прилагательное)
Тарасова улица               # [СПБ3] (Краткое притяжательное прилагательное)
Телегина-Редятина улица      # Великий Новгород, (совмещены фамилия в родительном падеже + краткое притяжательное прилагательное)
Тосина улица                 # [СПБ3] (Краткое притяжательное прилагательное)
Усачёва улица                # Москва, http://ru.wikipedia.org/wiki/Усачёва_улица
Черемнова-Конюхова улица     # Великий Новгород, (совмещены фамилия в родительном падеже + краткое притяжательное прилагательное)
Чудинцева улица              # Великий Новгород, (Краткое притяжательное прилагательное)
Шамшева улица                # [СПБ3] (Краткое притяжательное прилагательное)
Шарова улица                 # [СПБ3] (Краткое притяжательное прилагательное)
Шахватова улица              # Россошь
Эсперова улица               # [СПБ3] (Краткое притяжательное прилагательное)
Яковлева улица               # Великий Новгород, (Краткое притяжательное прилагательное)
